0	69
1	27
2	ac
3	7f
4	51
5	1a
6	ef
7	17
8	78
9	2c
10	4e
11	a0
12	9f
13	d8
14	04
15	87
16	a3
17	61
18	3c
19	37
20	05
21	bf
22	ad
23	df
24	f1
25	c4
26	6d
27	06
28	52
29	a4
30	92
31	93
32	95
33	b8
34	90
35	14
36	a6
37	ff
38	5b
39	71
40	58
41	80
42	34
43	16
44	a9
45	4d
46	a2
47	0f
48	f8
49	e1
50	81
51	08
52	70
53	c0
54	97
55	8d
56	82
57	07
58	9e
59	f0
60	d7
61	4c
62	31
63	c6
64	79
65	98
66	56
67	c5
68	3b
69	33
70	89
71	91
72	5f
73	f7
74	a1
75	0d
76	c7
77	47
78	12
79	c2
80	d4
81	15
82	0a
83	f5
84	46
85	8e
86	5d
87	0e
88	dd
89	be
90	67
91	24
92	7d
93	44
94	00
95	6a
96	fe
97	d1
98	2e
99	74
100	94
101	cc
102	57
103	b0
104	75
105	4f
106	ed
107	f3
108	7c
109	63
110	b7
111	11
112	f9
113	2b
114	23
115	13
116	50
117	1f
118	3d
119	45
120	db
121	ca
122	b5
123	7b
124	88
125	8c
126	fd
127	60
128	4a
129	c8
130	19
131	f4
132	39
133	e5
134	a8
135	42
136	73
137	d2
138	a7
139	20
140	53
141	55
142	41
143	d6
144	10
145	9a
146	35
147	03
148	02
149	77
150	43
151	b9
152	4b
153	22
154	cf
155	aa
156	30
157	fa
158	36
159	9d
160	48
161	ba
162	59
163	96
164	8b
165	84
166	21
167	ec
168	a5
169	af
170	c3
171	38
172	09
173	e6
174	ea
175	cb
176	c9
177	f6
178	b3
179	e2
180	5a
181	54
182	2a
183	9c
184	5c
185	e0
186	1b
187	66
188	49
189	25
190	86
191	b1
192	d3
193	9b
194	d0
195	64
196	e3
197	40
198	5e
199	e9
200	b4
201	cd
202	bb
203	b6
204	85
205	bd
206	6b
207	d9
208	7a
209	65
210	6e
211	62
212	eb
213	72
214	76
215	dc
216	29
217	18
218	7e
219	32
220	e7
221	ce
222	b2
223	6f
224	1d
225	de
226	3a
227	da
228	01
229	8f
230	1c
231	83
232	1e
233	0b
234	99
235	fb
236	f2
237	3e
238	ab
239	6c
240	ae
241	e4
242	8a
243	3f
244	2f
245	26
246	ee
247	d5
248	2d
249	bc
250	fc
251	e8
252	68
253	c1
254	28
255	0c
