0	27
1	05
2	b1
3	69
4	3e
5	93
6	7c
7	98
8	25
9	a1
10	89
11	a4
12	40
13	6a
14	ce
15	97
16	c1
17	af
18	36
19	b3
20	f7
21	00
22	7d
23	e6
24	39
25	b0
26	d0
27	c9
28	bc
29	a6
30	f1
31	41
32	91
33	7f
34	1d
35	49
36	b6
37	35
38	e9
39	ae
40	4e
41	9d
42	16
43	58
44	26
45	de
46	2b
47	60
48	37
49	5c
50	f5
51	c0
52	a2
53	a3
54	95
55	63
56	06
57	0d
58	50
59	92
60	ee
61	9c
62	8e
63	34
64	c2
65	dc
66	7e
67	44
68	20
69	86
70	52
71	4d
72	45
73	1f
74	e0
75	cf
76	81
77	66
78	fd
79	a5
80	4a
81	84
82	fb
83	ea
84	51
85	cc
86	bd
87	b9
88	22
89	12
90	1a
91	c8
92	74
93	0c
94	2e
95	61
96	3c
97	90
98	c6
99	6e
100	f3
101	23
102	76
103	f6
104	f4
105	67
106	a9
107	48
108	a0
109	b8
110	02
111	0a
112	15
113	56
114	8f
115	ec
116	5b
117	31
118	75
119	4c
120	c4
121	3b
122	24
123	e5
124	3f
125	6c
126	bf
127	77
128	09
129	f2
130	9e
131	94
132	fa
133	db
134	d7
135	38
136	a7
137	68
138	8b
139	79
140	dd
141	10
142	b5
143	ba
144	57
145	2a
146	d1
147	6d
148	80
149	b7
150	14
151	78
152	d3
153	82
154	c7
155	f8
156	ad
157	1b
158	65
159	6b
160	11
161	96
162	e3
163	42
164	e7
165	70
166	64
167	62
168	c5
169	28
170	f9
171	7b
172	73
173	99
174	d4
175	08
176	9b
177	fe
178	13
179	7a
180	ac
181	07
182	cb
183	01
184	32
185	04
186	ab
187	21
188	88
189	72
190	46
191	33
192	ca
193	a8
194	3a
195	2f
196	5d
197	9a
198	0f
199	c3
200	eb
201	0b
202	ef
203	2c
204	b2
205	2d
206	be
207	30
208	d9
209	cd
210	8d
211	1c
212	3d
213	19
214	f0
215	59
216	0e
217	bb
218	d5
219	9f
220	e4
221	df
222	17
223	1e
224	87
225	8a
226	fc
227	85
228	e8
229	5a
230	8c
231	b4
232	55
233	e1
234	aa
235	e2
236	d8
237	6f
238	71
239	d2
240	03
241	4f
242	29
243	18
244	5e
245	83
246	ff
247	d6
248	53
249	5f
250	54
251	4b
252	ed
253	47
254	43
255	da
