0	2d
1	e7
2	4a
3	e1
4	f5
5	9c
6	7d
7	18
8	a0
9	d5
10	6e
11	94
12	4d
13	c7
14	d4
15	e2
16	82
17	84
18	01
19	96
20	05
21	a4
22	f7
23	70
24	32
25	ee
26	95
27	7f
28	1f
29	9d
30	23
31	ce
32	f2
33	9e
34	66
35	51
36	37
37	8b
38	b1
39	cc
40	83
41	8d
42	4b
43	fd
44	21
45	1e
46	35
47	64
48	31
49	de
50	1c
51	3d
52	78
53	72
54	ef
55	14
56	53
57	5c
58	3b
59	f6
60	6d
61	9f
62	41
63	8e
64	19
65	30
66	b8
67	65
68	cf
69	fe
70	e5
71	a9
72	a5
73	3c
74	0b
75	a1
76	b2
77	ad
78	b5
79	b9
80	6a
81	52
82	0e
83	bc
84	1a
85	63
86	61
87	6c
88	97
89	34
90	3e
91	89
92	4c
93	04
94	b3
95	07
96	16
97	bf
98	db
99	ff
100	6b
101	fa
102	3f
103	2b
104	f1
105	f8
106	02
107	39
108	33
109	79
110	e8
111	5d
112	e9
113	25
114	bb
115	7c
116	dc
117	c9
118	2c
119	4e
120	58
121	d6
122	54
123	cb
124	09
125	ca
126	0d
127	ed
128	73
129	85
130	44
131	45
132	13
133	26
134	d1
135	ba
136	68
137	d2
138	08
139	7a
140	b6
141	74
142	e0
143	eb
144	0f
145	48
146	50
147	d3
148	fb
149	af
150	77
151	99
152	cd
153	86
154	c0
155	38
156	f0
157	be
158	a8
159	7b
160	9b
161	00
162	11
163	e6
164	d0
165	55
166	27
167	49
168	17
169	a7
170	5a
171	40
172	36
173	2f
174	df
175	56
176	9a
177	7e
178	d8
179	75
180	57
181	8f
182	c1
183	e3
184	28
185	71
186	a6
187	8c
188	6f
189	42
190	c3
191	47
192	93
193	aa
194	bd
195	d7
196	69
197	0a
198	f3
199	b0
200	59
201	91
202	d9
203	8a
204	c2
205	03
206	22
207	dd
208	90
209	10
210	15
211	c5
212	20
213	88
214	da
215	76
216	e4
217	ec
218	46
219	5e
220	4f
221	ae
222	12
223	81
224	5b
225	5f
226	b7
227	2a
228	1d
229	0c
230	ac
231	62
232	c8
233	87
234	92
235	ea
236	fc
237	2e
238	c4
239	f4
240	b4
241	ab
242	c6
243	60
244	98
245	a2
246	24
247	3a
248	1b
249	43
250	67
251	80
252	06
253	29
254	a3
255	f9
